RowId,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_RAIN,Hour,DayOfWeek,Month,Is_Weekend,Is_Rush_Hour
29,None_Existent,37.9,2.5,64.7,DARK,15.0,1019.0,67.0,4.0,sem observação,sem chuva,2,5,5,1,0
30,Medium,36.2,38.7,84.8,LIGHT,16.0,1019.0,100.0,1.0,sem observação,sem chuva,10,0,9,0,0
31,Low,37.2,9.4,72.5,LIGHT,17.0,1019.0,72.0,2.0,sem observação,sem chuva,10,6,6,1,0
32,Medium,47.3,6.2,80.3,DARK,8.0,1025.0,100.0,1.0,nuvens dispersas,sem chuva,7,3,2,0,1
33,Low,45.5,3.6,86.2,DARK,13.0,1018.0,93.0,2.0,sem observação,sem chuva,3,2,10,0,0
34,None_Existent,45.3,1.4,81.6,DARK,13.0,1007.0,93.0,6.0,nuvens quebrados,sem chuva,2,2,11,0,0
35,Low,41.4,14.2,77.1,DARK,18.0,1013.0,88.0,0.0,céu claro,sem chuva,23,2,8,0,0
36,Low,37.3,13.0,91.4,LIGHT,21.0,1015.0,73.0,2.0,algumas nuvens,sem chuva,19,2,8,0,1
37,None_Existent,36.7,0.0,75.5,LIGHT,7.0,1032.0,100.0,1.0,algumas nuvens,sem chuva,10,5,12,1,0
38,None_Existent,38.3,0.0,84.3,DARK,13.0,1026.0,100.0,0.0,sem observação,sem chuva,1,5,11,1,0
39,Medium,34.2,36.3,92.5,LIGHT,21.0,1018.0,83.0,3.0,tempo nublado,sem chuva,13,1,9,0,0
40,Low,37.2,3.0,66.9,DARK,11.0,1020.0,87.0,4.0,tempo nublado,sem chuva,0,6,1,1,0
41,Low,48.2,1.4,82.9,DARK,11.0,1016.0,66.0,8.0,céu claro,sem chuva,6,5,10,1,0
42,Very_High,46.0,131.7,61.5,LIGHT,16.0,1015.0,100.0,3.0,nuvens quebradas,sem chuva,8,2,6,0,1
43,High,39.0,41.3,79.0,LIGHT,7.0,1021.0,100.0,1.0,céu claro,sem chuva,10,4,1,0,0
44,Medium,40.6,19.9,87.6,LIGHT,20.0,1019.0,82.0,4.0,nuvens quebrados,sem chuva,13,6,8,1,0
45,High,42.9,63.6,85.6,LIGHT,20.0,1018.0,73.0,2.0,céu claro,sem chuva,18,3,9,0,1
46,None_Existent,47.4,0.0,85.9,DARK,9.0,1016.0,87.0,1.0,céu claro,sem chuva,6,4,10,0,0
47,None_Existent,39.1,0.0,72.0,DARK,13.0,1018.0,93.0,6.0,nuvens quebrados,sem chuva,0,3,1,0,0
48,High,40.2,31.3,88.9,LOW_LIGHT,14.0,1029.0,76.0,1.0,algumas nuvens,sem chuva,18,2,2,0,1
49,Very_High,47.7,103.1,81.5,LIGHT,10.0,1020.0,76.0,5.0,sem observação,sem chuva,9,2,11,0,1
50,Medium,43.1,7.6,66.5,LOW_LIGHT,9.0,1024.0,87.0,2.0,céu pouco nublado,sem chuva,6,4,4,0,0
51,None_Existent,47.3,0.0,89.4,DARK,15.0,1014.0,88.0,2.0,céu claro,sem chuva,6,5,9,1,0
52,Low,37.3,6.9,78.8,LIGHT,28.0,1014.0,61.0,4.0,sem observação,sem chuva,19,2,7,0,1
53,Medium,45.6,10.2,77.3,DARK,9.0,1005.0,87.0,10.0,sem observação,chuva,22,4,2,0,0
54,Medium,37.4,30.6,90.0,LIGHT,19.0,1016.0,77.0,0.0,nuvens quebrados,sem chuva,10,2,7,0,0
55,None_Existent,34.8,0.0,88.4,LIGHT,17.0,1021.0,100.0,1.0,sem observação,sem chuva,9,6,9,1,1
56,None_Existent,44.2,2.6,77.6,DARK,12.0,1019.0,100.0,2.0,sem observação,chuva fraca,4,6,9,1,0
57,Very_High,44.3,111.9,86.4,LIGHT,5.0,1029.0,66.0,5.0,céu claro,sem chuva,9,2,2,0,1
58,None_Existent,38.9,2.5,69.5,DARK,12.0,1021.0,87.0,2.0,céu limpo,sem chuva,20,3,4,0,0
59,None_Existent,45.0,0.0,80.6,DARK,14.0,1015.0,87.0,1.0,céu claro,sem chuva,2,6,8,1,0
60,Medium,37.4,20.6,76.5,LIGHT,21.0,1016.0,72.0,2.0,céu pouco nublado,sem chuva,13,1,6,0,0
61,None_Existent,37.6,1.9,84.9,DARK,18.0,1019.0,67.0,2.0,céu claro,sem chuva,20,0,10,0,0
62,High,44.5,78.7,85.0,LOW_LIGHT,17.0,1017.0,67.0,0.0,nuvens quebrados,sem chuva,17,3,10,0,1
63,None_Existent,36.4,0.0,68.9,DARK,17.0,1018.0,82.0,1.0,sem observação,sem chuva,1,6,6,1,0
64,High,38.5,92.2,92.8,LIGHT,26.0,1020.0,69.0,6.0,sem observação,sem chuva,15,3,8,0,0
65,High,45.3,38.8,87.0,LIGHT,30.0,1013.0,43.0,3.0,céu claro,sem chuva,18,3,8,0,1
66,Medium,32.9,24.1,88.8,LIGHT,21.0,1013.0,88.0,4.0,nuvens quebradas,sem chuva,10,2,7,0,0
67,Low,33.7,7.0,70.8,LIGHT,15.0,1016.0,67.0,4.0,nuvens dispersas,sem chuva,13,5,5,1,0
68,None_Existent,41.9,0.0,73.8,DARK,14.0,1023.0,100.0,0.0,sem observação,sem chuva,21,0,12,0,0
69,None_Existent,49.6,4.1,86.1,DARK,15.0,1021.0,87.0,8.0,sem observação,sem chuva,1,2,8,0,0
70,Low,40.7,3.6,83.4,LIGHT,14.0,1012.0,55.0,3.0,céu limpo,sem chuva,9,6,3,1,1
71,Medium,40.5,5.0,81.8,DARK,14.0,1015.0,100.0,2.0,sem observação,sem chuva,6,2,9,0,0
72,High,44.5,43.3,81.3,LOW_LIGHT,20.0,1021.0,82.0,5.0,céu claro,sem chuva,18,4,9,0,1
73,High,39.3,22.3,79.0,LIGHT,24.0,1015.0,73.0,4.0,sem observação,sem chuva,19,1,7,0,1
74,High,36.0,59.6,87.9,LIGHT,25.0,1015.0,82.0,6.0,sem observação,sem chuva,15,4,7,0,0
75,Low,34.9,7.9,92.3,DARK,18.0,1016.0,93.0,2.0,céu pouco nublado,sem chuva,23,5,7,1,0
76,None_Existent,41.9,0.0,87.0,DARK,14.0,1017.0,100.0,1.0,sem observação,sem chuva,5,4,9,0,0
77,High,44.2,37.5,73.3,DARK,11.0,1012.0,87.0,5.0,sem observação,sem chuva,20,3,11,0,0
78,None_Existent,35.0,5.9,77.1,DARK,7.0,1020.0,93.0,2.0,nuvens quebrados,sem chuva,21,1,1,0,0
79,High,37.5,60.8,90.4,LIGHT,22.0,1019.0,94.0,3.0,sem observação,chuva leve,15,0,7,0,0
80,Medium,39.4,33.4,88.6,LIGHT,22.0,1017.0,69.0,2.0,céu claro,sem chuva,11,2,8,0,0
81,High,41.0,81.3,83.5,LIGHT,20.0,1020.0,77.0,1.0,nuvens quebradas,sem chuva,18,6,9,1,1
82,None_Existent,47.9,0.0,71.6,DARK,10.0,1019.0,81.0,6.0,algumas nuvens,sem chuva,22,2,11,0,0
83,Medium,41.6,10.9,78.2,LIGHT,16.0,1013.0,77.0,7.0,sem observação,sem chuva,19,2,6,0,1
84,Medium,39.6,11.0,82.9,LIGHT,13.0,1011.0,93.0,9.0,tempo nublado,sem chuva,11,1,11,0,0
85,Medium,39.6,35.9,88.3,LIGHT,19.0,1020.0,68.0,7.0,céu claro,sem chuva,18,2,8,0,1
86,High,40.9,117.7,82.9,LIGHT,24.0,1022.0,49.0,8.0,sem observação,sem chuva,17,2,9,0,1
87,None_Existent,48.3,0.0,77.2,DARK,17.0,1009.0,82.0,4.0,nuvens quebradas,sem chuva,3,5,9,1,0
88,None_Existent,43.2,2.8,84.3,DARK,18.0,1023.0,64.0,2.0,sem observação,sem chuva,3,4,9,0,0
89,None_Existent,41.9,2.0,69.2,DARK,12.0,1015.0,76.0,3.0,sem observação,sem chuva,22,6,5,1,0
90,None_Existent,44.2,0.0,82.0,DARK,8.0,1012.0,100.0,1.0,algumas nuvens,sem chuva,6,0,11,0,0
91,None_Existent,47.1,0.0,70.9,DARK,14.0,1023.0,93.0,6.0,sem observação,sem chuva,3,0,12,0,0
92,High,37.8,45.4,65.4,LIGHT,17.0,1016.0,82.0,1.0,nuvens dispersas,sem chuva,9,0,6,0,1
93,Medium,41.3,16.5,81.9,LIGHT,18.0,1021.0,88.0,2.0,sem observação,sem chuva,14,6,9,1,0
94,Low,32.8,15.2,83.0,LIGHT,21.0,1016.0,93.0,3.0,nuvens quebradas,sem chuva,13,0,7,0,0
95,None_Existent,43.1,0.0,71.3,DARK,16.0,1018.0,93.0,1.0,nuvens quebradas,sem chuva,3,0,6,0,0
96,None_Existent,43.6,4.3,76.9,DARK,16.0,1017.0,93.0,1.0,céu claro,sem chuva,22,0,8,0,0
97,None_Existent,35.8,1.5,72.3,DARK,15.0,1011.0,72.0,3.0,sem observação,sem chuva,23,4,5,0,0
98,None_Existent,42.1,0.0,75.9,DARK,9.0,1022.0,54.0,6.0,céu claro,sem chuva,1,1,12,0,0
99,Medium,41.1,13.9,75.1,LIGHT,12.0,1004.0,87.0,3.0,céu limpo,sem chuva,7,0,4,0,1
100,None_Existent,37.2,2.4,68.3,DARK,8.0,1032.0,100.0,0.0,nuvens quebrados,sem chuva,2,6,12,1,0
101,Medium,42.8,10.5,82.0,LIGHT,17.0,1014.0,82.0,2.0,nuvens dispersas,sem chuva,13,4,10,0,0
102,Medium,34.1,27.2,83.2,LIGHT,22.0,1015.0,73.0,4.0,céu pouco nublado,sem chuva,11,3,7,0,0
103,None_Existent,43.1,0.0,70.1,DARK,16.0,1020.0,93.0,2.0,sem observação,sem chuva,21,2,5,0,0
104,Low,36.9,8.6,87.2,LIGHT,28.0,1016.0,65.0,2.0,céu claro,sem chuva,14,6,8,1,0
105,Low,50.8,9.4,87.2,DARK,16.0,1020.0,100.0,1.0,sem observação,sem chuva,5,5,8,1,0
106,High,39.9,47.6,72.9,LIGHT,18.0,1018.0,68.0,4.0,céu pouco nublado,sem chuva,18,2,5,0,1
107,High,41.7,76.7,81.1,LIGHT,29.0,1015.0,48.0,4.0,sem observação,sem chuva,18,0,9,0,1
108,High,38.0,49.5,91.3,LIGHT,26.0,1020.0,69.0,6.0,sem observação,sem chuva,14,3,8,0,0
109,Low,44.8,13.9,78.1,DARK,17.0,1015.0,88.0,3.0,sem observação,sem chuva,3,4,8,0,0
110,Medium,39.9,17.7,69.7,LIGHT,23.0,1018.0,73.0,4.0,sem observação,sem chuva,12,4,6,0,0
111,None_Existent,39.2,4.2,71.7,DARK,14.0,1008.0,93.0,6.0,sem observação,chuva fraca,21,5,11,1,0
112,High,38.4,99.3,80.3,LIGHT,20.0,1015.0,46.0,3.0,céu pouco nublado,sem chuva,16,4,4,0,0
113,Low,44.1,12.8,80.3,DARK,20.0,1022.0,68.0,3.0,sem observação,sem chuva,20,2,9,0,0
114,Low,33.6,16.9,103.8,LIGHT,16.0,1022.0,82.0,7.0,nuvens quebradas,sem chuva,14,6,3,1,0
115,Low,42.4,3.3,78.4,DARK,17.0,1017.0,93.0,2.0,sem observação,sem chuva,20,4,9,0,0
116,None_Existent,43.0,4.8,82.7,DARK,17.0,1019.0,88.0,2.0,céu claro,sem chuva,22,6,10,1,0
117,Medium,37.4,30.6,91.6,LIGHT,20.0,1016.0,77.0,2.0,céu claro,sem chuva,11,3,9,0,0
118,Very_High,41.1,132.7,72.7,LIGHT,23.0,1018.0,73.0,5.0,sem observação,sem chuva,18,0,7,0,1
119,High,51.1,35.3,65.8,DARK,17.0,1014.0,100.0,0.0,céu pouco nublado,sem chuva,23,6,6,1,0
120,Low,37.0,7.5,68.6,DARK,16.0,1014.0,100.0,3.0,nuvens quebradas,sem chuva,22,6,4,1,0
121,Low,47.3,1.2,73.2,DARK,5.0,1024.0,93.0,2.0,céu claro,sem chuva,3,0,1,0,0
122,High,36.4,61.0,74.9,LIGHT,30.0,1019.0,32.0,3.0,sem observação,sem chuva,16,4,5,0,0
123,None_Existent,42.1,5.5,88.7,DARK,17.0,1015.0,77.0,7.0,algumas nuvens,sem chuva,5,4,10,0,0
124,None_Existent,44.5,0.0,85.0,DARK,14.0,1022.0,100.0,0.0,céu claro,sem chuva,2,6,9,1,0
125,Low,44.9,6.2,70.2,DARK,20.0,1017.0,72.0,1.0,sem observação,sem chuva,23,6,9,1,0
126,High,39.5,38.0,88.8,LIGHT,25.0,1016.0,78.0,3.0,sem observação,sem chuva,15,1,7,0,0
127,Medium,40.8,19.2,82.4,DARK,10.0,1005.0,93.0,3.0,sem observação,chuva fraca,20,0,10,0,0
128,Medium,38.2,15.4,66.1,LIGHT,23.0,1019.0,73.0,3.0,céu pouco nublado,sem chuva,13,0,7,0,0
129,Low,40.3,9.7,72.3,DARK,15.0,1019.0,82.0,5.0,céu pouco nublado,sem chuva,21,0,6,0,0
130,Medium,32.8,23.6,84.3,LIGHT,20.0,1017.0,48.0,2.0,céu pouco nublado,sem chuva,13,5,3,1,0
131,Medium,35.2,34.4,81.2,LIGHT,19.0,1017.0,88.0,4.0,nuvens quebradas,sem chuva,12,2,6,0,0
132,None_Existent,41.8,0.0,74.8,DARK,8.0,1015.0,87.0,2.0,céu limpo,sem chuva,3,2,4,0,0
133,None_Existent,41.6,0.0,76.2,DARK,7.0,1020.0,93.0,4.0,nuvens quebrados,sem chuva,23,1,1,0,0
134,None_Existent,39.0,4.4,92.1,DARK,3.0,1029.0,100.0,1.0,céu claro,sem chuva,6,0,2,0,0
135,Low,41.8,0.9,61.8,LIGHT,20.0,1021.0,32.0,6.0,sem observação,sem chuva,9,6,5,1,1
136,Medium,34.6,21.2,81.2,DARK,13.0,1019.0,87.0,1.0,céu limpo,sem chuva,19,4,4,0,1
137,None_Existent,35.3,6.6,78.1,LIGHT,14.0,986.0,86.0,1.0,nuvens quebrados,sem chuva,13,0,11,0,0
138,None_Existent,35.0,3.4,87.4,DARK,18.0,1016.0,100.0,1.0,nuvens quebradas,sem chuva,1,6,7,1,0
139,Medium,39.4,35.1,88.6,LIGHT,20.0,1017.0,88.0,2.0,sem observação,sem chuva,11,0,8,0,0
140,High,39.5,36.7,84.1,LIGHT,23.0,1015.0,73.0,1.0,sem observação,sem chuva,9,2,7,0,1
141,None_Existent,41.8,2.1,82.1,DARK,15.0,1016.0,87.0,2.0,céu claro,sem chuva,20,4,10,0,0
142,High,40.8,66.4,82.2,LIGHT,20.0,1016.0,100.0,6.0,nuvens quebradas,sem chuva,10,4,8,0,0
143,None_Existent,40.6,0.0,87.6,DARK,18.0,1013.0,88.0,1.0,céu claro,sem chuva,2,3,8,0,0
144,None_Existent,36.3,2.3,94.0,LIGHT,11.0,1030.0,66.0,5.0,céu claro,sem chuva,10,5,2,1,0
145,Very_High,45.6,83.1,73.6,LIGHT,23.0,1017.0,68.0,6.0,sem observação,sem chuva,17,4,6,0,1
146,Very_High,46.1,90.9,75.8,DARK,13.0,1020.0,82.0,4.0,nuvens quebrados,sem chuva,18,2,11,0,1
147,Low,32.2,15.1,87.1,LIGHT,19.0,1012.0,48.0,3.0,céu limpo,sem chuva,13,6,3,1,0
148,Low,51.3,15.1,88.6,DARK,16.0,1018.0,93.0,1.0,sem observação,sem chuva,0,0,8,0,0
149,Low,31.9,10.1,81.3,LIGHT,15.0,1017.0,100.0,4.0,sem observação,chuvisco fraco,9,6,4,1,1
150,Low,34.6,8.7,75.9,LIGHT,19.0,1017.0,72.0,3.0,céu pouco nublado,sem chuva,12,6,9,1,0
151,Low,44.4,7.3,75.5,DARK,18.0,1016.0,88.0,4.0,céu claro,sem chuva,21,3,8,0,0
152,Medium,35.3,15.0,94.0,LIGHT,10.0,1021.0,61.0,5.0,algumas nuvens,sem chuva,12,5,2,1,0
153,High,45.3,41.8,73.2,LIGHT,18.0,1013.0,93.0,1.0,sem observação,sem chuva,7,4,7,0,1
154,None_Existent,40.9,0.0,89.3,DARK,15.0,1021.0,100.0,0.0,céu claro,sem chuva,5,0,9,0,0
155,Medium,35.7,19.2,82.9,LIGHT,15.0,1015.0,67.0,2.0,nuvens dispersas,sem chuva,11,2,11,0,0
156,Medium,37.5,32.4,91.3,LIGHT,26.0,1015.0,57.0,2.0,sem observação,sem chuva,15,4,7,0,0
157,Low,45.1,3.1,63.0,DARK,14.0,1017.0,100.0,4.0,sem observação,sem chuva,5,6,4,1,0
158,Medium,37.5,43.4,90.9,LIGHT,27.0,1017.0,58.0,4.0,céu claro,sem chuva,11,4,8,0,0
159,Medium,37.4,23.0,89.3,LIGHT,27.0,1022.0,16.0,2.0,céu claro,sem chuva,13,2,10,0,0
160,Medium,34.1,12.1,75.1,LOW_LIGHT,25.0,1017.0,41.0,2.0,sem observação,sem chuva,20,5,6,1,0
161,None_Existent,44.9,0.0,84.6,DARK,15.0,1017.0,87.0,3.0,céu claro,sem chuva,5,4,8,0,0
162,Medium,35.3,22.1,80.8,LIGHT,16.0,1013.0,72.0,6.0,céu pouco nublado,sem chuva,19,3,6,0,1
163,None_Existent,37.2,4.8,88.6,DARK,18.0,1024.0,52.0,2.0,sem observação,sem chuva,4,3,9,0,0
164,Medium,39.3,23.7,87.3,LIGHT,14.0,1020.0,67.0,5.0,nuvens dispersas,sem chuva,15,6,1,1,0
165,Medium,37.0,22.3,91.1,LIGHT,18.0,1017.0,77.0,0.0,sem observação,sem chuva,11,1,10,0,0
166,Low,40.0,6.8,80.1,DARK,15.0,1015.0,100.0,2.0,sem observação,sem chuva,5,2,7,0,0
167,Low,42.7,11.0,87.9,LIGHT,21.0,1019.0,60.0,2.0,algumas nuvens,sem chuva,11,6,7,1,0
168,Low,43.7,6.0,86.9,DARK,22.0,1012.0,57.0,1.0,céu claro,sem chuva,0,6,9,1,0
169,High,42.1,43.9,89.1,LIGHT,29.0,1016.0,48.0,2.0,céu claro,sem chuva,17,4,8,0,1
170,Low,41.3,7.4,86.4,DARK,21.0,1018.0,73.0,7.0,nuvens quebrados,sem chuva,21,4,10,0,0
171,None_Existent,51.6,0.0,75.3,DARK,19.0,1018.0,43.0,4.0,sem observação,sem chuva,2,4,9,0,0
172,None_Existent,42.0,0.0,74.0,DARK,7.0,1028.0,87.0,1.0,sem observação,sem chuva,4,5,4,1,0
173,Medium,38.5,55.0,88.4,LIGHT,22.0,1011.0,60.0,5.0,algumas nuvens,sem chuva,14,5,10,1,0
174,Low,40.4,11.2,87.4,LIGHT,22.0,1019.0,69.0,3.0,céu claro,sem chuva,13,4,8,0,0
175,Low,40.7,7.3,81.1,DARK,17.0,1021.0,93.0,3.0,céu pouco nublado,sem chuva,0,6,8,1,0
176,Very_High,40.4,108.1,83.2,LIGHT,10.0,1000.0,93.0,2.0,sem observação,chuva fraca,10,1,10,0,0
177,Low,35.4,6.3,80.0,DARK,17.0,1019.0,52.0,4.0,sem observação,sem chuva,23,4,5,0,0
178,Low,47.8,3.8,66.1,DARK,11.0,1021.0,93.0,3.0,tempo nublado,sem chuva,1,6,1,1,0
179,Medium,42.5,26.2,79.9,LIGHT,26.0,1016.0,41.0,5.0,sem observação,sem chuva,18,6,9,1,1
180,Medium,39.8,61.3,76.4,LOW_LIGHT,18.0,1019.0,72.0,6.0,sem observação,sem chuva,20,5,5,1,0
181,Medium,43.7,20.5,88.1,DARK,18.0,1021.0,88.0,3.0,sem observação,sem chuva,20,5,8,1,0
182,High,42.8,98.1,85.7,LIGHT,21.0,1017.0,73.0,4.0,céu claro,sem chuva,15,3,8,0,0
183,Medium,49.3,2.3,72.9,DARK,13.0,1017.0,81.0,7.0,nuvens quebrados,sem chuva,6,0,11,0,0
184,High,41.4,47.8,76.2,LIGHT,14.0,1013.0,76.0,5.0,algumas nuvens,sem chuva,16,4,11,0,0
185,None_Existent,38.3,1.1,66.3,DARK,16.0,1011.0,77.0,2.0,sem observação,chuva fraca,22,4,5,0,0
186,High,37.4,32.8,76.7,LIGHT,18.0,1014.0,72.0,2.0,sem observação,sem chuva,17,0,6,0,1
187,Medium,46.4,16.2,80.4,LIGHT,18.0,1021.0,82.0,2.0,céu pouco nublado,sem chuva,9,6,8,1,1
188,High,35.4,92.1,87.7,LIGHT,22.0,1019.0,64.0,5.0,sem observação,sem chuva,17,6,4,1,1
189,Medium,37.9,20.7,86.8,LIGHT,22.0,1014.0,61.0,3.0,céu claro,sem chuva,13,4,9,0,0
190,Medium,40.0,21.8,88.8,DARK,26.0,1016.0,50.0,3.0,céu claro,sem chuva,20,5,8,1,0
191,High,41.6,61.5,90.7,DARK,18.0,1013.0,68.0,5.0,algumas nuvens,sem chuva,18,3,10,0,1
192,Low,39.3,4.6,83.2,LIGHT,28.0,1016.0,37.0,4.0,céu claro,sem chuva,18,6,8,1,1
193,Medium,35.5,24.9,78.3,LIGHT,25.0,1017.0,83.0,3.0,sem observação,sem chuva,19,4,8,0,1
194,Medium,38.5,29.9,88.8,LIGHT,27.0,1016.0,28.0,4.0,sem observação,sem chuva,17,5,9,1,1
195,Low,35.2,17.4,93.8,DARK,15.0,1017.0,100.0,11.0,sem observação,sem chuva,3,3,7,0,0
196,None_Existent,44.0,0.8,85.5,DARK,16.0,1020.0,77.0,2.0,céu claro,sem chuva,4,0,10,0,0
197,Medium,45.4,20.3,74.9,DARK,20.0,1017.0,93.0,1.0,sem observação,sem chuva,22,2,8,0,0
198,None_Existent,47.9,0.0,71.9,DARK,13.0,1000.0,87.0,2.0,sem observação,chuva moderada,6,1,11,0,0
199,None_Existent,42.1,0.0,76.4,DARK,6.0,1023.0,93.0,3.0,céu claro,sem chuva,6,1,11,0,0
200,Very_High,44.9,228.5,84.6,LIGHT,9.0,1004.0,76.0,2.0,céu claro,sem chuva,8,2,10,0,1
201,Medium,34.0,9.6,61.8,LIGHT,12.0,1016.0,81.0,1.0,nuvens quebradas,sem chuva,9,5,5,1,1
202,None_Existent,41.9,0.0,76.2,DARK,15.0,1022.0,93.0,1.0,sem observação,sem chuva,0,4,9,0,0
203,Low,37.7,9.2,74.4,DARK,13.0,1009.0,100.0,4.0,sem observação,chuva moderada,22,5,1,1,0
204,Low,45.8,32.2,84.7,DARK,19.0,1017.0,68.0,1.0,céu claro,sem chuva,0,6,10,1,0
205,None_Existent,44.2,0.0,86.2,DARK,18.0,1014.0,77.0,0.0,céu claro,sem chuva,1,1,8,0,0
206,None_Existent,38.9,0.0,92.4,DARK,11.0,1019.0,76.0,3.0,nuvens dispersas,sem chuva,23,0,3,0,0
207,Low,45.1,11.8,89.3,DARK,13.0,1021.0,93.0,7.0,sem observação,sem chuva,3,1,8,0,0
208,Very_High,40.7,106.7,83.0,LIGHT,28.0,1017.0,29.0,4.0,sem observação,sem chuva,17,3,9,0,1
209,None_Existent,33.1,3.7,73.5,DARK,13.0,1001.0,93.0,1.0,algumas nuvens,sem chuva,1,1,11,0,0
210,Low,37.6,19.0,92.5,LIGHT,22.0,1014.0,64.0,3.0,algumas nuvens,sem chuva,10,5,9,1,0
211,High,31.9,106.5,76.3,LIGHT,14.0,1012.0,87.0,4.0,céu pouco nublado,sem chuva,9,3,4,0,1
212,None_Existent,41.5,0.0,76.1,DARK,14.0,1019.0,87.0,3.0,nublado,sem chuva,0,0,5,0,0
213,Very_High,42.8,132.0,81.1,LIGHT,19.0,1021.0,88.0,3.0,céu pouco nublado,sem chuva,18,4,9,0,1
214,Low,38.6,22.9,82.9,LIGHT,16.0,1021.0,72.0,3.0,sem observação,sem chuva,10,0,6,0,0
215,Low,37.6,21.8,92.5,LIGHT,18.0,1012.0,100.0,3.0,nuvens quebrados,sem chuva,9,0,9,0,1
216,Very_High,47.2,67.4,78.3,LIGHT,8.0,1029.0,58.0,5.0,céu claro,sem chuva,8,0,2,0,1
