RowId,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_RAIN,Hour,DayOfWeek,Month,CLOUD_algumas nuvens,CLOUD_c̩u claro,CLOUD_c̩u limpo,CLOUD_c̩u pouco nublado,CLOUD_nublado,CLOUD_nuvens dispersas,CLOUD_nuvens quebradas,CLOUD_nuvens quebrados,CLOUD_sem observa̤̣o,CLOUD_tempo nublado
22,39.7,2.0,72.0,0.0,24.0,1020.0,32.0,4.0,0,23,4,9,False,False,False,False,False,False,False,False,True,False
23,40.9,35.9,77.7,2.0,20.0,1018.0,82.0,6.0,1,16,0,4,False,False,False,False,False,False,False,False,True,False
24,43.0,30.7,89.3,0.0,22.0,1020.0,37.0,1.0,0,19,2,10,False,True,False,False,False,False,False,False,False,False
25,43.1,113.5,86.2,2.0,22.0,1011.0,94.0,7.0,1,18,3,8,False,False,False,False,False,False,False,False,True,False
26,40.8,25.9,81.9,0.0,14.0,1014.0,93.0,0.0,0,19,4,10,False,False,False,False,False,False,False,True,False,False
27,35.6,26.7,89.8,2.0,22.0,1016.0,83.0,3.0,0,19,5,7,False,False,False,True,False,False,False,False,False,False
28,33.8,136.9,93.6,2.0,20.0,1019.0,77.0,3.0,0,12,0,8,False,False,False,False,False,False,False,True,False,False
29,37.9,2.5,64.7,0.0,15.0,1019.0,67.0,4.0,0,2,5,5,False,False,False,False,False,False,False,False,True,False
30,36.2,38.7,84.8,2.0,16.0,1019.0,100.0,1.0,0,10,0,9,False,False,False,False,False,False,False,False,True,False
31,37.2,9.4,72.5,2.0,17.0,1019.0,72.0,2.0,0,10,6,6,False,False,False,False,False,False,False,False,True,False
32,47.3,6.2,80.3,0.0,8.0,1025.0,100.0,1.0,0,7,3,2,False,False,False,False,False,True,False,False,False,False
33,45.5,3.6,86.2,0.0,13.0,1018.0,93.0,2.0,0,3,2,10,False,False,False,False,False,False,False,False,True,False
34,45.3,1.4,81.6,0.0,13.0,1007.0,93.0,6.0,0,2,2,11,False,False,False,False,False,False,False,True,False,False
35,41.4,14.2,77.1,0.0,18.0,1013.0,88.0,0.0,0,23,2,8,False,True,False,False,False,False,False,False,False,False
36,37.3,13.0,91.4,2.0,21.0,1015.0,73.0,2.0,0,19,2,8,True,False,False,False,False,False,False,False,False,False
37,36.7,0.0,75.5,2.0,7.0,1032.0,100.0,1.0,0,10,5,12,True,False,False,False,False,False,False,False,False,False
38,38.3,0.0,84.3,0.0,13.0,1026.0,100.0,0.0,0,1,5,11,False,False,False,False,False,False,False,False,True,False
39,34.2,36.3,92.5,2.0,21.0,1018.0,83.0,3.0,0,13,1,9,False,False,False,False,False,False,False,False,False,True
40,37.2,3.0,66.9,0.0,11.0,1020.0,87.0,4.0,0,0,6,1,False,False,False,False,False,False,False,False,False,True
41,48.2,1.4,82.9,0.0,11.0,1016.0,66.0,8.0,0,6,5,10,False,True,False,False,False,False,False,False,False,False
42,46.0,131.7,61.5,2.0,16.0,1015.0,100.0,3.0,0,8,2,6,False,False,False,False,False,False,True,False,False,False
43,39.0,41.3,79.0,2.0,7.0,1021.0,100.0,1.0,0,10,4,1,False,True,False,False,False,False,False,False,False,False
44,40.6,19.9,87.6,2.0,20.0,1019.0,82.0,4.0,0,13,6,8,False,False,False,False,False,False,False,True,False,False
45,42.9,63.6,85.6,2.0,20.0,1018.0,73.0,2.0,0,18,3,9,False,True,False,False,False,False,False,False,False,False
46,47.4,0.0,85.9,0.0,9.0,1016.0,87.0,1.0,0,6,4,10,False,True,False,False,False,False,False,False,False,False
47,39.1,0.0,72.0,0.0,13.0,1018.0,93.0,6.0,0,0,3,1,False,False,False,False,False,False,False,True,False,False
48,40.2,31.3,88.9,1.0,14.0,1029.0,76.0,1.0,0,18,2,2,True,False,False,False,False,False,False,False,False,False
49,47.7,103.1,81.5,2.0,10.0,1020.0,76.0,5.0,0,9,2,11,False,False,False,False,False,False,False,False,True,False
50,43.1,7.6,66.5,1.0,9.0,1024.0,87.0,2.0,0,6,4,4,False,False,False,True,False,False,False,False,False,False
51,47.3,0.0,89.4,0.0,15.0,1014.0,88.0,2.0,0,6,5,9,False,True,False,False,False,False,False,False,False,False
52,37.3,6.9,78.8,2.0,28.0,1014.0,61.0,4.0,0,19,2,7,False,False,False,False,False,False,False,False,True,False
53,45.6,10.2,77.3,0.0,9.0,1005.0,87.0,10.0,2,22,4,2,False,False,False,False,False,False,False,False,True,False
54,37.4,30.6,90.0,2.0,19.0,1016.0,77.0,0.0,0,10,2,7,False,False,False,False,False,False,False,True,False,False
55,34.8,0.0,88.4,2.0,17.0,1021.0,100.0,1.0,0,9,6,9,False,False,False,False,False,False,False,False,True,False
56,44.2,2.6,77.6,0.0,12.0,1019.0,100.0,2.0,1,4,6,9,False,False,False,False,False,False,False,False,True,False
57,44.3,111.9,86.4,2.0,5.0,1029.0,66.0,5.0,0,9,2,2,False,True,False,False,False,False,False,False,False,False
58,38.9,2.5,69.5,0.0,12.0,1021.0,87.0,2.0,0,20,3,4,False,False,True,False,False,False,False,False,False,False
59,45.0,0.0,80.6,0.0,14.0,1015.0,87.0,1.0,0,2,6,8,False,True,False,False,False,False,False,False,False,False
60,37.4,20.6,76.5,2.0,21.0,1016.0,72.0,2.0,0,13,1,6,False,False,False,True,False,False,False,False,False,False
61,37.6,1.9,84.9,0.0,18.0,1019.0,67.0,2.0,0,20,0,10,False,True,False,False,False,False,False,False,False,False
62,44.5,78.7,85.0,1.0,17.0,1017.0,67.0,0.0,0,17,3,10,False,False,False,False,False,False,False,True,False,False
63,36.4,0.0,68.9,0.0,17.0,1018.0,82.0,1.0,0,1,6,6,False,False,False,False,False,False,False,False,True,False
64,38.5,92.2,92.8,2.0,26.0,1020.0,69.0,6.0,0,15,3,8,False,False,False,False,False,False,False,False,True,False
65,45.3,38.8,87.0,2.0,30.0,1013.0,43.0,3.0,0,18,3,8,False,True,False,False,False,False,False,False,False,False
66,32.9,24.1,88.8,2.0,21.0,1013.0,88.0,4.0,0,10,2,7,False,False,False,False,False,False,True,False,False,False
67,33.7,7.0,70.8,2.0,15.0,1016.0,67.0,4.0,0,13,5,5,False,False,False,False,False,True,False,False,False,False
68,41.9,0.0,73.8,0.0,14.0,1023.0,100.0,0.0,0,21,0,12,False,False,False,False,False,False,False,False,True,False
69,49.6,4.1,86.1,0.0,15.0,1021.0,87.0,8.0,0,1,2,8,False,False,False,False,False,False,False,False,True,False
70,40.7,3.6,83.4,2.0,14.0,1012.0,55.0,3.0,0,9,6,3,False,False,True,False,False,False,False,False,False,False
71,40.5,5.0,81.8,0.0,14.0,1015.0,100.0,2.0,0,6,2,9,False,False,False,False,False,False,False,False,True,False
72,44.5,43.3,81.3,1.0,20.0,1021.0,82.0,5.0,0,18,4,9,False,True,False,False,False,False,False,False,False,False
73,39.3,22.3,79.0,2.0,24.0,1015.0,73.0,4.0,0,19,1,7,False,False,False,False,False,False,False,False,True,False
74,36.0,59.6,87.9,2.0,25.0,1015.0,82.0,6.0,0,15,4,7,False,False,False,False,False,False,False,False,True,False
75,34.9,7.9,92.3,0.0,18.0,1016.0,93.0,2.0,0,23,5,7,False,False,False,True,False,False,False,False,False,False
76,41.9,0.0,87.0,0.0,14.0,1017.0,100.0,1.0,0,5,4,9,False,False,False,False,False,False,False,False,True,False
77,44.2,37.5,73.3,0.0,11.0,1012.0,87.0,5.0,0,20,3,11,False,False,False,False,False,False,False,False,True,False
78,35.0,5.9,77.1,0.0,7.0,1020.0,93.0,2.0,0,21,1,1,False,False,False,False,False,False,False,True,False,False
79,37.5,60.8,90.4,2.0,22.0,1019.0,94.0,3.0,1,15,0,7,False,False,False,False,False,False,False,False,True,False
80,39.4,33.4,88.6,2.0,22.0,1017.0,69.0,2.0,0,11,2,8,False,True,False,False,False,False,False,False,False,False
81,41.0,81.3,83.5,2.0,20.0,1020.0,77.0,1.0,0,18,6,9,False,False,False,False,False,False,True,False,False,False
82,47.9,0.0,71.6,0.0,10.0,1019.0,81.0,6.0,0,22,2,11,True,False,False,False,False,False,False,False,False,False
83,41.6,10.9,78.2,2.0,16.0,1013.0,77.0,7.0,0,19,2,6,False,False,False,False,False,False,False,False,True,False
84,39.6,11.0,82.9,2.0,13.0,1011.0,93.0,9.0,0,11,1,11,False,False,False,False,False,False,False,False,False,True
85,39.6,35.9,88.3,2.0,19.0,1020.0,68.0,7.0,0,18,2,8,False,True,False,False,False,False,False,False,False,False
86,40.9,117.7,82.9,2.0,24.0,1022.0,49.0,8.0,0,17,2,9,False,False,False,False,False,False,False,False,True,False
87,48.3,0.0,77.2,0.0,17.0,1009.0,82.0,4.0,0,3,5,9,False,False,False,False,False,False,True,False,False,False
88,43.2,2.8,84.3,0.0,18.0,1023.0,64.0,2.0,0,3,4,9,False,False,False,False,False,False,False,False,True,False
89,41.9,2.0,69.2,0.0,12.0,1015.0,76.0,3.0,0,22,6,5,False,False,False,False,False,False,False,False,True,False
90,44.2,0.0,82.0,0.0,8.0,1012.0,100.0,1.0,0,6,0,11,True,False,False,False,False,False,False,False,False,False
91,47.1,0.0,70.9,0.0,14.0,1023.0,93.0,6.0,0,3,0,12,False,False,False,False,False,False,False,False,True,False
92,37.8,45.4,65.4,2.0,17.0,1016.0,82.0,1.0,0,9,0,6,False,False,False,False,False,True,False,False,False,False
93,41.3,16.5,81.9,2.0,18.0,1021.0,88.0,2.0,0,14,6,9,False,False,False,False,False,False,False,False,True,False
94,32.8,15.2,83.0,2.0,21.0,1016.0,93.0,3.0,0,13,0,7,False,False,False,False,False,False,True,False,False,False
95,43.1,0.0,71.3,0.0,16.0,1018.0,93.0,1.0,0,3,0,6,False,False,False,False,False,False,True,False,False,False
96,43.6,4.3,76.9,0.0,16.0,1017.0,93.0,1.0,0,22,0,8,False,True,False,False,False,False,False,False,False,False
97,35.8,1.5,72.3,0.0,15.0,1011.0,72.0,3.0,0,23,4,5,False,False,False,False,False,False,False,False,True,False
98,42.1,0.0,75.9,0.0,9.0,1022.0,54.0,6.0,0,1,1,12,False,True,False,False,False,False,False,False,False,False
99,41.1,13.9,75.1,2.0,12.0,1004.0,87.0,3.0,0,7,0,4,False,False,True,False,False,False,False,False,False,False
100,37.2,2.4,68.3,0.0,8.0,1032.0,100.0,0.0,0,2,6,12,False,False,False,False,False,False,False,True,False,False
101,42.8,10.5,82.0,2.0,17.0,1014.0,82.0,2.0,0,13,4,10,False,False,False,False,False,True,False,False,False,False
102,34.1,27.2,83.2,2.0,22.0,1015.0,73.0,4.0,0,11,3,7,False,False,False,True,False,False,False,False,False,False
103,43.1,0.0,70.1,0.0,16.0,1020.0,93.0,2.0,0,21,2,5,False,False,False,False,False,False,False,False,True,False
104,36.9,8.6,87.2,2.0,28.0,1016.0,65.0,2.0,0,14,6,8,False,True,False,False,False,False,False,False,False,False
105,50.8,9.4,87.2,0.0,16.0,1020.0,100.0,1.0,0,5,5,8,False,False,False,False,False,False,False,False,True,False
106,39.9,47.6,72.9,2.0,18.0,1018.0,68.0,4.0,0,18,2,5,False,False,False,True,False,False,False,False,False,False
107,41.7,76.7,81.1,2.0,29.0,1015.0,48.0,4.0,0,18,0,9,False,False,False,False,False,False,False,False,True,False
108,38.0,49.5,91.3,2.0,26.0,1020.0,69.0,6.0,0,14,3,8,False,False,False,False,False,False,False,False,True,False
109,44.8,13.9,78.1,0.0,17.0,1015.0,88.0,3.0,0,3,4,8,False,False,False,False,False,False,False,False,True,False
110,39.9,17.7,69.7,2.0,23.0,1018.0,73.0,4.0,0,12,4,6,False,False,False,False,False,False,False,False,True,False
111,39.2,4.2,71.7,0.0,14.0,1008.0,93.0,6.0,1,21,5,11,False,False,False,False,False,False,False,False,True,False
112,38.4,99.3,80.3,2.0,20.0,1015.0,46.0,3.0,0,16,4,4,False,False,False,True,False,False,False,False,False,False
113,44.1,12.8,80.3,0.0,20.0,1022.0,68.0,3.0,0,20,2,9,False,False,False,False,False,False,False,False,True,False
114,33.6,16.9,103.8,2.0,16.0,1022.0,82.0,7.0,0,14,6,3,False,False,False,False,False,False,True,False,False,False
115,42.4,3.3,78.4,0.0,17.0,1017.0,93.0,2.0,0,20,4,9,False,False,False,False,False,False,False,False,True,False
116,43.0,4.8,82.7,0.0,17.0,1019.0,88.0,2.0,0,22,6,10,False,True,False,False,False,False,False,False,False,False
117,37.4,30.6,91.6,2.0,20.0,1016.0,77.0,2.0,0,11,3,9,False,True,False,False,False,False,False,False,False,False
118,41.1,132.7,72.7,2.0,23.0,1018.0,73.0,5.0,0,18,0,7,False,False,False,False,False,False,False,False,True,False
119,51.1,35.3,65.8,0.0,17.0,1014.0,100.0,0.0,0,23,6,6,False,False,False,True,False,False,False,False,False,False
120,37.0,7.5,68.6,0.0,16.0,1014.0,100.0,3.0,0,22,6,4,False,False,False,False,False,False,True,False,False,False
121,47.3,1.2,73.2,0.0,5.0,1024.0,93.0,2.0,0,3,0,1,False,True,False,False,False,False,False,False,False,False
122,36.4,61.0,74.9,2.0,30.0,1019.0,32.0,3.0,0,16,4,5,False,False,False,False,False,False,False,False,True,False
123,42.1,5.5,88.7,0.0,17.0,1015.0,77.0,7.0,0,5,4,10,True,False,False,False,False,False,False,False,False,False
124,44.5,0.0,85.0,0.0,14.0,1022.0,100.0,0.0,0,2,6,9,False,True,False,False,False,False,False,False,False,False
125,44.9,6.2,70.2,0.0,20.0,1017.0,72.0,1.0,0,23,6,9,False,False,False,False,False,False,False,False,True,False
126,39.5,38.0,88.8,2.0,25.0,1016.0,78.0,3.0,0,15,1,7,False,False,False,False,False,False,False,False,True,False
127,40.8,19.2,82.4,0.0,10.0,1005.0,93.0,3.0,1,20,0,10,False,False,False,False,False,False,False,False,True,False
128,38.2,15.4,66.1,2.0,23.0,1019.0,73.0,3.0,0,13,0,7,False,False,False,True,False,False,False,False,False,False
129,40.3,9.7,72.3,0.0,15.0,1019.0,82.0,5.0,0,21,0,6,False,False,False,True,False,False,False,False,False,False
130,32.8,23.6,84.3,2.0,20.0,1017.0,48.0,2.0,0,13,5,3,False,False,False,True,False,False,False,False,False,False
131,35.2,34.4,81.2,2.0,19.0,1017.0,88.0,4.0,0,12,2,6,False,False,False,False,False,False,True,False,False,False
132,41.8,0.0,74.8,0.0,8.0,1015.0,87.0,2.0,0,3,2,4,False,False,True,False,False,False,False,False,False,False
133,41.6,0.0,76.2,0.0,7.0,1020.0,93.0,4.0,0,23,1,1,False,False,False,False,False,False,False,True,False,False
134,39.0,4.4,92.1,0.0,3.0,1029.0,100.0,1.0,0,6,0,2,False,True,False,False,False,False,False,False,False,False
135,41.8,0.9,61.8,2.0,20.0,1021.0,32.0,6.0,0,9,6,5,False,False,False,False,False,False,False,False,True,False
136,34.6,21.2,81.2,0.0,13.0,1019.0,87.0,1.0,0,19,4,4,False,False,True,False,False,False,False,False,False,False
137,35.3,6.6,78.1,2.0,14.0,986.0,86.0,1.0,0,13,0,11,False,False,False,False,False,False,False,True,False,False
138,35.0,3.4,87.4,0.0,18.0,1016.0,100.0,1.0,0,1,6,7,False,False,False,False,False,False,True,False,False,False
139,39.4,35.1,88.6,2.0,20.0,1017.0,88.0,2.0,0,11,0,8,False,False,False,False,False,False,False,False,True,False
140,39.5,36.7,84.1,2.0,23.0,1015.0,73.0,1.0,0,9,2,7,False,False,False,False,False,False,False,False,True,False
141,41.8,2.1,82.1,0.0,15.0,1016.0,87.0,2.0,0,20,4,10,False,True,False,False,False,False,False,False,False,False
142,40.8,66.4,82.2,2.0,20.0,1016.0,100.0,6.0,0,10,4,8,False,False,False,False,False,False,True,False,False,False
143,40.6,0.0,87.6,0.0,18.0,1013.0,88.0,1.0,0,2,3,8,False,True,False,False,False,False,False,False,False,False
144,36.3,2.3,94.0,2.0,11.0,1030.0,66.0,5.0,0,10,5,2,False,True,False,False,False,False,False,False,False,False
145,45.6,83.1,73.6,2.0,23.0,1017.0,68.0,6.0,0,17,4,6,False,False,False,False,False,False,False,False,True,False
146,46.1,90.9,75.8,0.0,13.0,1020.0,82.0,4.0,0,18,2,11,False,False,False,False,False,False,False,True,False,False
147,32.2,15.1,87.1,2.0,19.0,1012.0,48.0,3.0,0,13,6,3,False,False,True,False,False,False,False,False,False,False
148,51.3,15.1,88.6,0.0,16.0,1018.0,93.0,1.0,0,0,0,8,False,False,False,False,False,False,False,False,True,False
149,31.9,10.1,81.3,2.0,15.0,1017.0,100.0,4.0,1,9,6,4,False,False,False,False,False,False,False,False,True,False
150,34.6,8.7,75.9,2.0,19.0,1017.0,72.0,3.0,0,12,6,9,False,False,False,True,False,False,False,False,False,False
151,44.4,7.3,75.5,0.0,18.0,1016.0,88.0,4.0,0,21,3,8,False,True,False,False,False,False,False,False,False,False
152,35.3,15.0,94.0,2.0,10.0,1021.0,61.0,5.0,0,12,5,2,True,False,False,False,False,False,False,False,False,False
153,45.3,41.8,73.2,2.0,18.0,1013.0,93.0,1.0,0,7,4,7,False,False,False,False,False,False,False,False,True,False
154,40.9,0.0,89.3,0.0,15.0,1021.0,100.0,0.0,0,5,0,9,False,True,False,False,False,False,False,False,False,False
155,35.7,19.2,82.9,2.0,15.0,1015.0,67.0,2.0,0,11,2,11,False,False,False,False,False,True,False,False,False,False
156,37.5,32.4,91.3,2.0,26.0,1015.0,57.0,2.0,0,15,4,7,False,False,False,False,False,False,False,False,True,False
157,45.1,3.1,63.0,0.0,14.0,1017.0,100.0,4.0,0,5,6,4,False,False,False,False,False,False,False,False,True,False
158,37.5,43.4,90.9,2.0,27.0,1017.0,58.0,4.0,0,11,4,8,False,True,False,False,False,False,False,False,False,False
159,37.4,23.0,89.3,2.0,27.0,1022.0,16.0,2.0,0,13,2,10,False,True,False,False,False,False,False,False,False,False
160,34.1,12.1,75.1,1.0,25.0,1017.0,41.0,2.0,0,20,5,6,False,False,False,False,False,False,False,False,True,False
161,44.9,0.0,84.6,0.0,15.0,1017.0,87.0,3.0,0,5,4,8,False,True,False,False,False,False,False,False,False,False
162,35.3,22.1,80.8,2.0,16.0,1013.0,72.0,6.0,0,19,3,6,False,False,False,True,False,False,False,False,False,False
163,37.2,4.8,88.6,0.0,18.0,1024.0,52.0,2.0,0,4,3,9,False,False,False,False,False,False,False,False,True,False
164,39.3,23.7,87.3,2.0,14.0,1020.0,67.0,5.0,0,15,6,1,False,False,False,False,False,True,False,False,False,False
165,37.0,22.3,91.1,2.0,18.0,1017.0,77.0,0.0,0,11,1,10,False,False,False,False,False,False,False,False,True,False
166,40.0,6.8,80.1,0.0,15.0,1015.0,100.0,2.0,0,5,2,7,False,False,False,False,False,False,False,False,True,False
167,42.7,11.0,87.9,2.0,21.0,1019.0,60.0,2.0,0,11,6,7,True,False,False,False,False,False,False,False,False,False
168,43.7,6.0,86.9,0.0,22.0,1012.0,57.0,1.0,0,0,6,9,False,True,False,False,False,False,False,False,False,False
169,42.1,43.9,89.1,2.0,29.0,1016.0,48.0,2.0,0,17,4,8,False,True,False,False,False,False,False,False,False,False
170,41.3,7.4,86.4,0.0,21.0,1018.0,73.0,7.0,0,21,4,10,False,False,False,False,False,False,False,True,False,False
171,51.6,0.0,75.3,0.0,19.0,1018.0,43.0,4.0,0,2,4,9,False,False,False,False,False,False,False,False,True,False
172,42.0,0.0,74.0,0.0,7.0,1028.0,87.0,1.0,0,4,5,4,False,False,False,False,False,False,False,False,True,False
173,38.5,55.0,88.4,2.0,22.0,1011.0,60.0,5.0,0,14,5,10,True,False,False,False,False,False,False,False,False,False
174,40.4,11.2,87.4,2.0,22.0,1019.0,69.0,3.0,0,13,4,8,False,True,False,False,False,False,False,False,False,False
175,40.7,7.3,81.1,0.0,17.0,1021.0,93.0,3.0,0,0,6,8,False,False,False,True,False,False,False,False,False,False
176,40.4,108.1,83.2,2.0,10.0,1000.0,93.0,2.0,1,10,1,10,False,False,False,False,False,False,False,False,True,False
177,35.4,6.3,80.0,0.0,17.0,1019.0,52.0,4.0,0,23,4,5,False,False,False,False,False,False,False,False,True,False
178,47.8,3.8,66.1,0.0,11.0,1021.0,93.0,3.0,0,1,6,1,False,False,False,False,False,False,False,False,False,True
179,42.5,26.2,79.9,2.0,26.0,1016.0,41.0,5.0,0,18,6,9,False,False,False,False,False,False,False,False,True,False
180,39.8,61.3,76.4,1.0,18.0,1019.0,72.0,6.0,0,20,5,5,False,False,False,False,False,False,False,False,True,False
181,43.7,20.5,88.1,0.0,18.0,1021.0,88.0,3.0,0,20,5,8,False,False,False,False,False,False,False,False,True,False
182,42.8,98.1,85.7,2.0,21.0,1017.0,73.0,4.0,0,15,3,8,False,True,False,False,False,False,False,False,False,False
183,49.3,2.3,72.9,0.0,13.0,1017.0,81.0,7.0,0,6,0,11,False,False,False,False,False,False,False,True,False,False
184,41.4,47.8,76.2,2.0,14.0,1013.0,76.0,5.0,0,16,4,11,True,False,False,False,False,False,False,False,False,False
185,38.3,1.1,66.3,0.0,16.0,1011.0,77.0,2.0,1,22,4,5,False,False,False,False,False,False,False,False,True,False
186,37.4,32.8,76.7,2.0,18.0,1014.0,72.0,2.0,0,17,0,6,False,False,False,False,False,False,False,False,True,False
187,46.4,16.2,80.4,2.0,18.0,1021.0,82.0,2.0,0,9,6,8,False,False,False,True,False,False,False,False,False,False
188,35.4,92.1,87.7,2.0,22.0,1019.0,64.0,5.0,0,17,6,4,False,False,False,False,False,False,False,False,True,False
189,37.9,20.7,86.8,2.0,22.0,1014.0,61.0,3.0,0,13,4,9,False,True,False,False,False,False,False,False,False,False
190,40.0,21.8,88.8,0.0,26.0,1016.0,50.0,3.0,0,20,5,8,False,True,False,False,False,False,False,False,False,False
191,41.6,61.5,90.7,0.0,18.0,1013.0,68.0,5.0,0,18,3,10,True,False,False,False,False,False,False,False,False,False
192,39.3,4.6,83.2,2.0,28.0,1016.0,37.0,4.0,0,18,6,8,False,True,False,False,False,False,False,False,False,False
193,35.5,24.9,78.3,2.0,25.0,1017.0,83.0,3.0,0,19,4,8,False,False,False,False,False,False,False,False,True,False
194,38.5,29.9,88.8,2.0,27.0,1016.0,28.0,4.0,0,17,5,9,False,False,False,False,False,False,False,False,True,False
195,35.2,17.4,93.8,0.0,15.0,1017.0,100.0,11.0,0,3,3,7,False,False,False,False,False,False,False,False,True,False
196,44.0,0.8,85.5,0.0,16.0,1020.0,77.0,2.0,0,4,0,10,False,True,False,False,False,False,False,False,False,False
197,45.4,20.3,74.9,0.0,20.0,1017.0,93.0,1.0,0,22,2,8,False,False,False,False,False,False,False,False,True,False
198,47.9,0.0,71.9,0.0,13.0,1000.0,87.0,2.0,2,6,1,11,False,False,False,False,False,False,False,False,True,False
199,42.1,0.0,76.4,0.0,6.0,1023.0,93.0,3.0,0,6,1,11,False,True,False,False,False,False,False,False,False,False
200,44.9,228.5,84.6,2.0,9.0,1004.0,76.0,2.0,0,8,2,10,False,True,False,False,False,False,False,False,False,False
201,34.0,9.6,61.8,2.0,12.0,1016.0,81.0,1.0,0,9,5,5,False,False,False,False,False,False,True,False,False,False
202,41.9,0.0,76.2,0.0,15.0,1022.0,93.0,1.0,0,0,4,9,False,False,False,False,False,False,False,False,True,False
203,37.7,9.2,74.4,0.0,13.0,1009.0,100.0,4.0,2,22,5,1,False,False,False,False,False,False,False,False,True,False
204,45.8,32.2,84.7,0.0,19.0,1017.0,68.0,1.0,0,0,6,10,False,True,False,False,False,False,False,False,False,False
205,44.2,0.0,86.2,0.0,18.0,1014.0,77.0,0.0,0,1,1,8,False,True,False,False,False,False,False,False,False,False
206,38.9,0.0,92.4,0.0,11.0,1019.0,76.0,3.0,0,23,0,3,False,False,False,False,False,True,False,False,False,False
207,45.1,11.8,89.3,0.0,13.0,1021.0,93.0,7.0,0,3,1,8,False,False,False,False,False,False,False,False,True,False
208,40.7,106.7,83.0,2.0,28.0,1017.0,29.0,4.0,0,17,3,9,False,False,False,False,False,False,False,False,True,False
209,33.1,3.7,73.5,0.0,13.0,1001.0,93.0,1.0,0,1,1,11,True,False,False,False,False,False,False,False,False,False
210,37.6,19.0,92.5,2.0,22.0,1014.0,64.0,3.0,0,10,5,9,True,False,False,False,False,False,False,False,False,False
211,31.9,106.5,76.3,2.0,14.0,1012.0,87.0,4.0,0,9,3,4,False,False,False,True,False,False,False,False,False,False
212,41.5,0.0,76.1,0.0,14.0,1019.0,87.0,3.0,0,0,0,5,False,False,False,False,True,False,False,False,False,False
